time,latitude,Longitude,elevation,distancia_geodesica_km,diferencia_tiempo_segundos,diferencia_tiempo_horas,rapidez_media_km_s,rapidez_media_km_h
2022-03-05 04:01:29+00:00,6.238944525836258,-75.60015932663865,1521.511875152588,0.003998831158289016,31.0,0.008611111111111111,0.00012899455349319407,0.4643803925754987
2022-03-05 04:01:37+00:00,6.238955170853286,-75.60019386007971,1523.360752105713,0.0028420308909033556,8.0,0.0022222222222222222,0.00035525386136291945,1.27891390090651
2022-03-05 04:01:40+00:00,6.238929564139097,-75.60019168078489,1524.2243995666504,0.0065822318237693635,3.0,0.0008333333333333334,0.002194077274589788,7.898678188523236
2022-03-05 04:01:42+00:00,6.238912548875659,-75.60024867772646,1523.7649269104004,0.01656428917160143,2.0,0.0005555555555555556,0.008282144585800715,29.815720508882574
2022-03-05 04:01:43+00:00,6.238888199446945,-75.60039636686034,1523.752109527588,0.008497940626698258,1.0,0.0002777777777777778,0.008497940626698258,30.59258625611373
2022-03-05 04:01:44+00:00,6.23886963353142,-75.60047088197953,1523.995029449463,0.012090842553843696,1.0,0.0002777777777777778,0.012090842553843696,43.527033193837305
2022-03-05 04:01:45+00:00,6.2388666579557945,-75.60058009817786,1524.437168121338,0.011138724240821693,1.0,0.0002777777777777778,0.011138724240821693,40.099407266958096
2022-03-05 04:01:46+00:00,6.238853791734426,-75.60067992664463,1523.5605812072754,0.011626454117966313,1.0,0.0002777777777777778,0.011626454117966313,41.85523482467873
2022-03-05 04:01:47+00:00,6.238844026817231,-75.60078453279621,1523.1709327697754,0.013018311709277775,1.0,0.0002777777777777778,0.013018311709277775,46.86592215339999
2022-03-05 04:01:48+00:00,6.238823994068651,-75.60090045451707,1522.8896827697754,0.014034944181968465,1.0,0.0002777777777777778,0.014034944181968465,50.52579905508647
2022-03-05 04:01:49+00:00,6.238814690156131,-75.60102693743593,1522.8396339416504,0.014261484446728092,1.0,0.0002777777777777778,0.014261484446728092,51.34134400822113
2022-03-05 04:01:50+00:00,6.238811421213894,-75.60115576728768,1522.351230621338,0.015315508309941057,1.0,0.0002777777777777778,0.015315508309941057,55.13582991578781
2022-03-05 04:01:51+00:00,6.2388063082529595,-75.60129406869001,1521.395175933838,0.014867153979830329,1.0,0.0002777777777777778,0.014867153979830329,53.52175432738918
2022-03-05 04:01:52+00:00,6.2388298614008715,-75.60142633512206,1521.540683746338,0.015168339667934221,1.0,0.0002777777777777778,0.015168339667934221,54.606022804563196
2022-03-05 04:01:53+00:00,6.238837069837599,-75.60156321160085,1522.0754737854004,0.014159660308187213,1.0,0.0002777777777777778,0.014159660308187213,50.97477710947397
2022-03-05 04:01:54+00:00,6.238848888321071,-75.60169061652905,1522.237949371338,0.014303286741191105,1.0,0.0002777777777777778,0.014303286741191105,51.49183226828798
2022-03-05 04:01:55+00:00,6.2388490140496184,-75.60181986547596,1522.040370941162,0.013785275960593465,1.0,0.0002777777777777778,0.013785275960593465,49.626993458136475
2022-03-05 04:01:56+00:00,6.238847211940437,-75.60194442055709,1522.443202972412,0.012298041099987804,1.0,0.0002777777777777778,0.012298041099987804,44.27294795995609
2022-03-05 04:01:57+00:00,6.238841386517732,-75.60205539695508,1523.904384613037,0.01081037457233399,1.0,0.0002777777777777778,0.01081037457233399,38.917348460402366
2022-03-05 04:01:58+00:00,6.2388387043087175,-75.60215304612703,1524.337245941162,0.007643341935797089,1.0,0.0002777777777777778,0.007643341935797089,27.51603096886952
2022-03-05 04:01:59+00:00,6.238854923291354,-75.60222018517143,1524.723964691162,0.005532944835385266,1.0,0.0002777777777777778,0.005532944835385266,19.91860140738696
